index,x,y,z,B_x,B_y,B_z
87,38.2,-87.25,34.22000000000003,-0.179178,-0.358782,-2.1612
88,38.2,-87.25,74.22000000000003,-0.0956526,-0.311818,-2.19864
89,38.2,-87.25,114.22000000000003,-0.017424000000000002,-0.26273,-2.22352
90,38.2,-127.25,-45.78,-0.27156,-0.482134,-2.09378
91,38.2,-127.25,-5.779999999999973,-0.231476,-0.42376,-2.16198
92,38.2,-127.25,34.22000000000003,-0.181116,-0.366254,-2.21266
93,38.2,-127.25,74.22000000000003,-0.1097244,-0.3112,-2.24912
94,38.2,-127.25,114.22000000000003,-0.0363866,-0.259608,-2.27162
95,38.2,-167.25,-45.78,-0.259608,-0.50707,-2.1547400000000003
96,38.2,-167.25,-5.779999999999973,-0.240632,-0.43387,-2.22296
97,38.2,-167.25,34.22000000000003,-0.204448,-0.363076,-2.27262
98,38.2,-167.25,74.22000000000003,-0.130408,-0.30443600000000004,-2.30588
99,38.2,-167.25,114.22000000000003,-0.05485,-0.241894,-2.32348
100,38.2,-327.25,-45.78,-0.467294,-0.447398,-2.51038
101,38.2,-327.25,-5.779999999999973,-0.476618,-0.300022,-2.6179
102,38.2,-327.25,34.22000000000003,-0.421928,-0.1613366,-2.63472
103,38.2,-327.25,74.22000000000003,-0.332884,-0.052218,-2.5987
104,38.2,-327.25,114.22000000000003,-0.241568,0.0146004,-2.5442400000000003
105,78.2,-327.25,-45.78,-0.292068,-0.340452,-2.5938
106,78.2,-327.25,-5.779999999999973,-0.338648,-0.214316,-2.60524
107,78.2,-327.25,34.22000000000003,-0.319646,-0.0942914,-2.5775
108,78.2,-327.25,74.22000000000003,-0.259054,-0.0018224,-2.52012
109,78.2,-327.25,114.22000000000003,-0.181112,0.0563688,-2.45722
110,78.2,-167.25,-45.78,-0.196918,-0.491976,-2.16418
111,78.2,-167.25,-5.779999999999973,-0.184028,-0.402622,-2.19966
112,78.2,-167.25,34.22000000000003,-0.1505292,-0.329774,-2.22586
113,78.2,-167.25,74.22000000000003,-0.0902652,-0.267926,-2.24228
114,78.2,-167.25,114.22000000000003,-0.0216986,-0.207346,-2.2482
115,78.2,-127.25,-45.78,-0.234324,-0.5007199999999999,-2.07486
116,78.2,-127.25,-5.779999999999973,-0.19585,-0.4188939999999999,-2.12116
117,78.2,-127.25,34.22000000000003,-0.1466014,-0.36514,-2.15444
118,78.2,-127.25,74.22000000000003,-0.085281,-0.301244,-2.18014
119,78.2,-127.25,114.22000000000003,-0.0132192,-0.24415,-2.19478
120,78.2,-87.25,-45.78,-0.241726,-0.475764,-2.00956
121,78.2,-87.25,-5.779999999999973,-0.19114,-0.407368,-2.0586
122,78.2,-87.25,34.22000000000003,-0.13442520000000002,-0.33976,-2.0984
123,78.2,-87.25,74.22000000000003,-0.0592562,-0.285298,-2.12666
124,78.2,-87.25,114.22000000000003,0.0102514,-0.23064,-2.1446400000000003
125,78.2,-47.25,-45.78,-0.278098,-0.464396,-1.95104
126,78.2,-47.25,-5.779999999999973,-0.213512,-0.405832,-2.0011400000000004
127,78.2,-47.25,34.22000000000003,-0.1448104,-0.355554,-2.04182
128,78.2,-47.25,74.22000000000003,-0.0674202,-0.307102,-2.07304
129,78.2,-47.25,114.22000000000003,0.0120696,-0.256174,-2.09564
130,78.2,-7.25,-45.78,-0.32443,-0.460574,-1.90038
131,78.2,-7.25,-5.779999999999973,-0.241788,-0.410434,-1.95026
132,78.2,-7.25,34.22000000000003,-0.167015,-0.354686,-1.9932
133,78.2,-7.25,74.22000000000003,-0.0821936,-0.305736,-2.02714
134,78.2,-7.25,114.22000000000003,0.0049856,-0.253722,-2.05238
135,78.2,32.75,-45.78,-0.353524,-0.456866,-1.85566
136,78.2,32.75,-5.779999999999973,-0.262054,-0.397944,-1.90468
137,78.2,32.75,34.22000000000003,-0.1700918,-0.350768,-1.94558
138,78.2,32.75,74.22000000000003,-0.08469739999999999,-0.29593200000000003,-1.97874
139,78.2,32.75,114.22000000000003,0.011311,-0.246356,-2.00366
140,78.2,-207.25,-45.78,-0.202898,-0.506178,-2.25552
141,78.2,-207.25,-5.779999999999973,-0.200034,-0.400902,-2.28218
142,78.2,-207.25,34.22000000000003,-0.1763366,-0.313918,-2.29948
143,78.2,-207.25,74.22000000000003,-0.1173278,-0.240394,-2.30698
144,78.2,-207.25,114.22000000000003,-0.048907,-0.17316979999999998,-2.30262
145,78.2,-247.25,-45.78,-0.211514,-0.45623,-2.36848
146,78.2,-247.25,-5.779999999999973,-0.228254,-0.347008,-2.38092
147,78.2,-247.25,34.22000000000003,-0.20262,-0.255176,-2.3847400000000003
148,78.2,-247.25,74.22000000000003,-0.152054,-0.1744904,-2.3762
149,78.2,-247.25,114.22000000000003,-0.08192360000000001,-0.1046534,-2.35726
150,78.2,-287.25,-45.78,-0.258168,-0.414618,-2.47684
151,78.2,-287.25,-5.779999999999973,-0.289616,-0.303496,-2.4838
152,78.2,-287.25,34.22000000000003,-0.27002800000000005,-0.196716,-2.4756
153,78.2,-287.25,74.22000000000003,-0.215234,-0.1012388,-2.45014
154,78.2,-287.25,114.22000000000003,-0.1474608,-0.0450344,-2.41316
155,38.2,-287.25,-45.78,-0.330798,-0.542014,-2.4008
156,38.2,-287.25,-5.779999999999973,-0.352214,-0.427438,-2.48782
157,38.2,-287.25,34.22000000000003,-0.321342,-0.31028,-2.5236400000000003
158,38.2,-287.25,74.22000000000003,-0.253874,-0.218724,-2.52118
159,38.2,-287.25,114.22000000000003,-0.1753148,-0.1402766,-2.49784
160,18.2,-287.25,-45.78,-0.383828,-0.588464,-2.3749
161,18.2,-287.25,-5.779999999999973,-0.38923,-0.468504,-2.49876
162,18.2,-287.25,34.22000000000003,-0.349106,-0.3466,-2.55138
163,18.2,-287.25,74.22000000000003,-0.273564,-0.234058,-2.5598
164,18.2,-287.25,114.22000000000003,-0.183868,-0.1481418,-2.54208
165,-1.8000000000000007,-287.25,-45.78,-0.464496,-0.6503479999999999,-2.35576
166,-1.8000000000000007,-287.25,-5.779999999999973,-0.453974,-0.5140140000000001,-2.51576
167,-1.8000000000000007,-287.25,34.22000000000003,-0.397764,-0.381574,-2.5841
